dep_city,arr_city,number
白山,通化,1331
白山,长春,1142
白山,延边,348
白山,沈阳,290
白山,吉林,236
白城,长春,2679
白城,兴安盟,1416
白城,松原,1275
白城,齐齐哈尔,1086
白城,呼伦贝尔,607
松原,长春,5547
松原,白城,1230
松原,哈尔滨,1230
松原,沈阳,687
松原,齐齐哈尔,501
延边,长春,2927
延边,吉林,1664
延边,北京,454
延边,沈阳,415
延边,牡丹江,403
哈尔滨,绥化,12169
哈尔滨,齐齐哈尔,9374
哈尔滨,牡丹江,9059
哈尔滨,大庆,7866
哈尔滨,沈阳,7617
齐齐哈尔,哈尔滨,6887
齐齐哈尔,大庆,2895
齐齐哈尔,呼伦贝尔,2278
齐齐哈尔,黑河,1616
齐齐哈尔,绥化,1530
牡丹江,哈尔滨,6090
牡丹江,鸡西,2900
牡丹江,绥化,943
牡丹江,七台河,790
牡丹江,大庆,778
佳木斯,哈尔滨,3281
佳木斯,双鸭山,2428
佳木斯,鹤岗,1715
佳木斯,北京,873
佳木斯,伊春,855
大庆,哈尔滨,7610
大庆,绥化,3054
大庆,齐齐哈尔,2943
大庆,北京,1657
大庆,秦皇岛,1144
伊春,哈尔滨,1623
伊春,佳木斯,906
伊春,绥化,762
伊春,双鸭山,303
伊春,鹤岗,285
鸡西,牡丹江,1496
鸡西,哈尔滨,1056
鸡西,双鸭山,328
鸡西,天津,327
鸡西,七台河,315
鹤岗,佳木斯,1431
鹤岗,哈尔滨,949
鹤岗,伊春,293
鹤岗,双鸭山,158
鹤岗,青岛,136
双鸭山,佳木斯,2343
双鸭山,哈尔滨,1119
双鸭山,北京,272
双鸭山,鸡西,265
双鸭山,绥化,238
七台河,哈尔滨,503
七台河,佳木斯,376
七台河,牡丹江,355
七台河,鸡西,338
七台河,双鸭山,93
绥化,哈尔滨,7924
绥化,大庆,2858
绥化,齐齐哈尔,960
绥化,伊春,793
绥化,黑河,638
黑河,哈尔滨,1607
黑河,齐齐哈尔,1280
黑河,绥化,540
黑河,呼伦贝尔,537
黑河,大兴安岭,178
大兴安岭,呼伦贝尔,520
大兴安岭,黑河,114
大兴安岭,哈尔滨,104
大兴安岭,齐齐哈尔,78
大兴安岭,唐山,28
上海,苏州,28271
上海,杭州,15282
上海,成都,11823
上海,北京,11650
上海,南京,11614
南京,镇江,13058
南京,上海,11873
南京,苏州,8507
南京,北京,8054
南京,滁州,7942
无锡,苏州,12306
无锡,常州,12173
无锡,上海,10101
无锡,南京,7361
无锡,成都,4689
徐州,宿州,5291
徐州,南京,4681
徐州,苏州,3156
徐州,上海,3054
徐州,连云港,2671
常州,无锡,11395
常州,南京,6410
常州,上海,5338
常州,苏州,4895
常州,镇江,4052
苏州,上海,33069
苏州,无锡,12853
苏州,南京,9336
苏州,常州,5112
苏州,杭州,4650
南通,上海,4804
南通,南京,3593
南通,苏州,2535
南通,盐城,1377
南通,无锡,1346
连云港,徐州,2461
连云港,南京,1639
连云港,临沂,957
连云港,淮安,637
连云港,宿迁,619
淮安,南京,4912
淮安,宿迁,1352
淮安,上海,1033
淮安,徐州,1023
淮安,苏州,912
盐城,南京,2982
盐城,上海,2271
盐城,苏州,1826
盐城,无锡,1717
盐城,南通,1419
扬州,南京,6707
扬州,上海,2179
扬州,镇江,1832
扬州,苏州,1377
扬州,无锡,1291
镇江,南京,16317
镇江,常州,4480
镇江,上海,3973
镇江,苏州,3401
镇江,无锡,2313
泰州,南京,3400
泰州,无锡,2401
泰州,上海,1778
泰州,苏州,1718
泰州,常州,1238
宿迁,南京,2492
宿迁,徐州,1699
宿迁,淮安,1576
宿迁,苏州,822
宿迁,上海,788
杭州,上海,16513
杭州,绍兴,16012
杭州,嘉兴,15755
杭州,金华,10595
杭州,宁波,9072
宁波,杭州,10113
宁波,绍兴,5427
宁波,上海,5112
宁波,台州,3685
宁波,重庆,3456
温州,杭州,4729
温州,丽水,3547
温州,金华,3136
温州,贵阳,2928
温州,台州,2795
绍兴,杭州,17992
绍兴,宁波,4890
绍兴,上海,3571
绍兴,金华,3390
绍兴,嘉兴,1902
湖州,杭州,8625
湖州,上海,2230
湖州,南京,1172
湖州,嘉兴,1071
湖州,宁波,1067
嘉兴,杭州,16876
嘉兴,上海,11166
嘉兴,苏州,2637
嘉兴,金华,2086
嘉兴,绍兴,2085
金华,杭州,10475
金华,贵阳,4692
金华,上海,4065
金华,怀化,3606
金华,衢州,3515
衢州,杭州,2997
衢州,金华,2913
衢州,上海,1281
衢州,上饶,1087
衢州,怀化,1078
舟山,宁波,1681
舟山,上海,1392
舟山,杭州,728
舟山,福州,329
舟山,阜阳,286
台州,杭州,3690
台州,宁波,3596
台州,温州,2852
台州,上海,1717
台州,贵阳,1432
丽水,温州,3183
丽水,金华,2679
丽水,杭州,1714
丽水,衢州,451
丽水,上海,435
合肥,六安,8398
合肥,南京,5393
合肥,安庆,5332
合肥,阜阳,5298
合肥,淮南,5284
芜湖,合肥,5617
芜湖,马鞍山,3694
芜湖,南京,3103
芜湖,宣城,1650
芜湖,上海,1323
蚌埠,合肥,5188
蚌埠,滁州,4558
蚌埠,上海,2133
蚌埠,南京,2126
蚌埠,宿州,1882
马鞍山,南京,6222
马鞍山,芜湖,3941
马鞍山,合肥,3385
马鞍山,上海,682
马鞍山,苏州,501
宿州,徐州,5869
宿州,淮北,5372
宿州,合肥,2914
宿州,上海,2078
宿州,蚌埠,2054
安庆,合肥,5645
安庆,池州,1001
安庆,铜陵,917
安庆,上海,856
安庆,南京,851
淮南,合肥,6093
淮南,阜阳,1792
淮南,六安,1266
淮南,蚌埠,1176
淮南,滁州,781
铜陵,合肥,1460
铜陵,芜湖,1230
铜陵,安庆,849
铜陵,池州,791
铜陵,南京,493
黄山,合肥,1370
黄山,杭州,791
黄山,宣城,763
黄山,南京,660
黄山,上海,550
宣城,芜湖,1997
宣城,合肥,1576
宣城,杭州,1375
宣城,上海,1120
宣城,湖州,1021
池州,合肥,1833
池州,安庆,1094
池州,上海,828
池州,铜陵,815
池州,南京,642
滁州,南京,9712
滁州,蚌埠,4651
滁州,合肥,3932
滁州,上海,3142
滁州,苏州,2149
淮北,宿州,5051
淮北,徐州,1513
淮北,合肥,1320
淮北,亳州,745
淮北,阜阳,553
阜阳,合肥,4873
阜阳,亳州,3099
阜阳,淮南,1667
阜阳,周口,1608
阜阳,南京,868
六安,合肥,9497
六安,上海,1398
六安,淮南,1149
六安,苏州,1145
六安,南京,999
亳州,阜阳,3268
亳州,合肥,2543
亳州,商丘,913
亳州,周口,716
亳州,淮北,637
福州,厦门,7015
福州,泉州,5313
福州,南平,4275
福州,宁德,4247
福州,莆田,3668
厦门,漳州,17286
厦门,泉州,13391
厦门,福州,7401
厦门,北京,5371
厦门,龙岩,4428
漳州,厦门,21418
漳州,泉州,3236
漳州,福州,2401
漳州,龙岩,1413
漳州,深圳,1222
泉州,厦门,16462
泉州,福州,6577
泉州,莆田,3652
泉州,漳州,3475
泉州,深圳,2072
三明,福州,2867
三明,厦门,1567
三明,南平,1448
三明,泉州,1181
三明,重庆,959
莆田,福州,4601
莆田,泉州,3453
莆田,厦门,2955
莆田,深圳,790
莆田,漳州,640
南平,福州,4030
南平,厦门,1343
南平,三明,1338
南平,南昌,745
南平,泉州,735
龙岩,厦门,4502
龙岩,漳州,1486
龙岩,福州,1473
龙岩,泉州,1281
龙岩,三明,729
宁德,福州,4494
宁德,温州,1530
宁德,厦门,1124
宁德,泉州,790
宁德,深圳,576
南昌,九江,7353
南昌,宜春,7065
南昌,抚州,5068
南昌,赣州,4351
南昌,上饶,3791
九江,南昌,8003
九江,黄冈,1944
九江,武汉,1157
九江,赣州,1103
九江,宜春,717
上饶,南昌,4398
上饶,金华,2167
上饶,上海,1906
上饶,鹰潭,1899
上饶,杭州,1831
抚州,南昌,4408
抚州,上海,869
抚州,鹰潭,819
抚州,宜春,683
抚州,上饶,590
宜春,南昌,8498
宜春,新余,2458
宜春,萍乡,1369
宜春,吉安,1158
宜春,长沙,1133
吉安,南昌,4273
吉安,赣州,2835
吉安,宜春,1407
吉安,深圳,1159
吉安,东莞,1005
赣州,南昌,4826
赣州,深圳,3173
赣州,吉安,2861
赣州,东莞,2228
赣州,广州,2142
景德镇,上饶,1491
景德镇,南昌,1393
景德镇,九江,765
景德镇,鹰潭,317
景德镇,杭州,259
萍乡,南昌,1424
萍乡,宜春,1384
萍乡,株洲,1333
萍乡,长沙,1123
萍乡,黔东南,601
新余,宜春,2311
新余,南昌,1892
新余,吉安,920
新余,黔东南,511
新余,萍乡,453
鹰潭,南昌,1993
鹰潭,上饶,1744
鹰潭,抚州,1005
鹰潭,上海,973
鹰潭,金华,553
济南,泰安,10804
济南,德州,10418
济南,潍坊,9837
济南,青岛,9407
济南,济宁,9151
青岛,潍坊,9217
青岛,济南,8078
青岛,烟台,6175
青岛,淄博,4264
青岛,济宁,3552
淄博,济南,6062
淄博,潍坊,4691
淄博,滨州,4030
淄博,青岛,3123
淄博,泰安,1612
枣庄,济宁,6361
枣庄,徐州,2670
枣庄,济南,2302
枣庄,临沂,2071
枣庄,北京,1171
东营,滨州,1257
东营,济南,1045
东营,潍坊,1021
东营,淄博,835
东营,北京,601
烟台,青岛,6150
烟台,济南,5449
烟台,威海,4985
烟台,潍坊,3800
烟台,临沂,2986
潍坊,青岛,8663
潍坊,济南,7487
潍坊,淄博,5327
潍坊,临沂,2452
潍坊,烟台,2416
济宁,济南,6038
济宁,枣庄,5561
济宁,菏泽,4408
济宁,临沂,3130
济宁,泰安,2694
泰安,济南,10670
泰安,济宁,3784
泰安,临沂,2968
泰安,莱芜,1997
泰安,淄博,1853
威海,烟台,5114
威海,济南,3452
威海,青岛,2376
威海,潍坊,1453
威海,淄博,1332
日照,临沂,3098
日照,青岛,2242
日照,济南,1123
日照,潍坊,1042
日照,济宁,735
滨州,淄博,4071
滨州,济南,2115
滨州,东营,1317
滨州,潍坊,1055
滨州,天津,725
德州,济南,10722
德州,衡水,2827
德州,北京,2715
德州,天津,2137
德州,沧州,1873
聊城,济南,3876
聊城,北京,2058
聊城,菏泽,1306
聊城,濮阳,1180
聊城,德州,1110
临沂,济南,3673
临沂,济宁,3423
临沂,日照,3403
临沂,青岛,2602
临沂,泰安,2272
菏泽,济宁,3153
菏泽,济南,2753
菏泽,北京,1947
菏泽,商丘,1696
菏泽,郑州,1111
莱芜,泰安,1838
莱芜,济南,1827
莱芜,淄博,809
莱芜,临沂,448
莱芜,青岛,281
郑州,开封,15110
郑州,新乡,13298
郑州,许昌,10446
郑州,洛阳,10385
郑州,北京,9437
开封,郑州,18843
开封,商丘,2047
开封,新乡,1295
开封,许昌,1096
开封,洛阳,997
洛阳,郑州,11546
洛阳,三门峡,3254
洛阳,西安,2251
洛阳,平顶山,2059
洛阳,北京,1552
平顶山,郑州,7858
平顶山,许昌,3883
平顶山,洛阳,2113
平顶山,漯河,1717
平顶山,南阳,1553
安阳,郑州,6911
安阳,鹤壁,3528
安阳,新乡,2531
安阳,邯郸,2079
安阳,北京,2001
鹤壁,安阳,3362
鹤壁,郑州,3086
鹤壁,新乡,1610
鹤壁,北京,909
鹤壁,濮阳,507
新乡,郑州,15533
新乡,焦作,3257
新乡,北京,2374
新乡,安阳,2254
