city_name,indicator_value,edgenum
杭州,26,6
郑州,25,5
南昌,25,4
周口,25,4
长春,26,3
太原,26,3
新乡,25,3
南京,24,3
安阳,23,3
广元,23,3
广州,23,3
忻州,23,2
大理白族自治州,23,2
上饶,23,2
深圳,23,2
玉林,22,2
南充,22,2
兰州,22,2
黔东南苗族侗族自治州,22,2
成都,22,2
宁波,22,2
开封,22,2
驻马店,22,2
肇庆,22,2
乐山,22,2
许昌,22,2
鞍山,22,2
贵港,22,2
沈阳,21,2
南宁,21,2
吉林,21,1
洛阳,21,1
保山,22,1
德宏傣族景颇族自治州,22,1
宜春,22,1
朝阳,23,1
赤峰,23,1
丽江,23,1
滁州,23,1
抚州,23,1
松原,23,1
四平,23,1
焦作,23,1
九江,23,1
鄂尔多斯,23,1
呼和浩特,23,1
景德镇,23,1
厦门,23,1
龙岩,23,1
鹤壁,23,1
佛山,23,1
马鞍山,23,1
亳州,23,1
吕梁,23,1
湛江,23,1
白银,23,1
汕尾,23,1
绵阳,23,1
常德,23,1
张家界,23,1
贵阳,23,1
台州,23,1
铜仁,23,1
泰州,23,1
无锡,23,1
昆明,23,1
榆林,23,1
镇江,23,1
泉州,23,1
三明,23,1
韶关,23,1
眉山,23,1
云浮,23,1
晋中,23,1
衢州,23,1
惠州,23,1
河源,23,1
安庆,23,1
合肥,23,1
嘉兴,23,1
巴中,23,1
漯河,23,1
营口,23,1
阜阳,23,1
临夏回族自治州,23,1
绍兴,23,1
茂名,23,1
金华,23,1
梧州,23,1
湖州,23,1
徐州,22,1
临沂,22,1
宿州,21,1
商丘,21,1
锦州,21,1
濮阳,21,1
